"id","flowcell_id","biosample_id","replica","project_id"
1,"200629_A00919_0083_AH23J2DSXY",LV3000650027,,M
2,"200629_A00919_0083_AH23J2DSXY",LV3000650068,,M
3,"200629_A00919_0083_AH23J2DSXY",LV3000649466,,M
4,"200629_A00919_0083_AH23J2DSXY",LV3000649498,,M
5,"200629_A00919_0083_AH23J2DSXY",LV3000649502,,M
6,"200629_A00919_0083_AH23J2DSXY",LV3000649555,,M
7,"200629_A00919_0083_AH23J2DSXY",LV3000649573,,M
8,"200629_A00919_0083_AH23J2DSXY",LV2001237411,,M
9,"200629_A00919_0083_AH23J2DSXY",LV2001237228,,M
10,"200629_A00919_0083_AH23J2DSXY",LV2001237369,,M
11,"200629_A00919_0083_AH23J2DSXY",LV2001237186,,M
12,"200629_A00919_0083_AH23J2DSXY",LV2001209347,,M
13,"200629_A00919_0083_AH23J2DSXY",LV2001236595,,M
14,"200629_A00919_0083_AH23J2DSXY",LV2001236613,,M
15,"200629_A00919_0083_AH23J2DSXY",LV2001236629,,M
16,"200720_A01013_0095_AH7KFCDSXY",LV3000651842,,M
17,"200720_A01013_0095_AH7KFCDSXY",LV3000651819,,M
18,"200720_A01013_0095_AH7KFCDSXY",LV3000651797,,M
19,"200720_A01013_0095_AH7KFCDSXY",LV2001236640,,M
20,"200720_A01013_0095_AH7KFCDSXY",LV3000651811,,M
21,"200720_A01013_0095_AH7KFCDSXY",LV3000651807,,M
22,"200720_A01013_0095_AH7KFCDSXY",LV3000651804,,M
23,"200720_A01013_0095_AH7KFCDSXY",LV3000651800,,M
24,"200720_A01013_0095_AH7KFCDSXY",LV3000651814,,M
25,"200720_A01013_0095_AH7KFCDSXY",LV3000651835,,M
26,"200720_A01013_0095_AH7KFCDSXY",LV3000651737,,M
27,"200720_A01013_0095_AH7KFCDSXY",LV3000651821,,M
28,"200720_A01013_0095_AH7KFCDSXY",LV3000651828,,M
29,"200720_A01013_0095_AH7KFCDSXY",LV3000651843,,M
30,"200720_A01013_0095_AH7KFCDSXY",LV3000651825,,M
31,"200720_A01013_0095_AH7KFCDSXY",LV3000651745,,M
32,"200723_A01013_0097_AH2522DSXY",LV2001237075,,M
33,"200723_A01013_0097_AH2522DSXY",LV2001237078,,M
34,"200723_A01013_0097_AH2522DSXY",LV2001237081,,M
35,"200723_A01013_0097_AH2522DSXY",LV2001237084,,M
36,"200723_A01013_0097_AH2522DSXY",LV2001237137,,M
37,"200723_A01013_0097_AH2522DSXY",LV2001237140,,M
38,"200723_A01013_0097_AH2522DSXY",LV2001237143,,M
39,"200723_A01013_0097_AH2522DSXY",LV2001237148,,M
40,"200723_A01013_0097_AH2522DSXY",LV2001237152,,M
41,"200723_A01013_0097_AH2522DSXY",LV2001237155,,M
42,"200723_A01013_0097_AH2522DSXY",LV2001237158,,M
